id,longitude,latitude,price,price_label,room_type,neighbourhood_cleansed,minimum_nights,review_scores_rating
1076888034890493423,-79.4280407,43.6814106,213.0,Expensive,Entire home/apt,Wychwood,2,4.41
19734408,-79.49698,43.61463,150.0,Average,Entire home/apt,Mimico (includes Humber Bay Shores),90,4.94
50312904,-79.32365,43.68313,71.0,Cheap,Private room,Greenwood-Coxwell,1,4.89
33853344,-79.40067,43.70854,160.0,Average,Private room,Yonge-Eglinton,1,4.91
40818252,-79.46715,43.67408,286.0,Expensive,Entire home/apt,Junction Area,7,4.93
752015312944523791,-79.3408686,43.6940002,130.0,Average,Entire home/apt,Old East York,28,
13847632,-79.30371880000001,43.6706693,100.0,Cheap,Entire home/apt,The Beaches,5,4.8
1076290014350684686,-79.41950619918454,43.772341039372826,176.0,Average,Private room,Willowdale West,1,4.89
50035231,-79.50317,43.74087,56.0,Cheap,Private room,Glenfield-Jane Heights,1,4.81
30155786,-79.42319,43.66202,412.0,Expensive,Entire home/apt,Palmerston-Little Italy,3,4.66
19567196,-79.25544,43.70958,59.0,Cheap,Private room,Birchcliffe-Cliffside,2,4.78
35721052,-79.50702,43.71093,97.0,Cheap,Private room,Pelmo Park-Humberlea,28,4.89
19170008,-79.39915,43.64404,181.0,Average,Entire home/apt,Waterfront Communities-The Island,28,4.9
1007578924707903829,-79.49104078929531,43.733252641585736,37.0,Cheap,Private room,Downsview-Roding-CFB,28,
3833243,-79.37657,43.67653,176.5,Average,Private room,Rosedale-Moore Park,28,
1089399346336207942,-79.58227,43.75034,65.0,Cheap,Private room,Mount Olive-Silverstone-Jamestown,29,
6969791,-79.37349,43.66083,181.0,Average,Shared room,Moss Park,28,
39755961,-79.4084635,43.6578384,67.0,Cheap,Private room,Palmerston-Little Italy,1,4.72
905611963178336840,-79.40182,43.64635,95.0,Cheap,Entire home/apt,Waterfront Communities-The Island,90,5.0
43567076,-79.40562,43.64753,145.0,Average,Private room,Trinity-Bellwoods,1,4.9
1227432468897900512,-79.43492726697175,43.66815283003362,136.0,Average,Entire home/apt,Dovercourt-Wallace Emerson-Junction,2,
